State,Year,Production.Coal,Consumption.Commercial.Coal,Consumption.Commercial.Distillate Fuel Oil,Consumption.Commercial.Geothermal,Consumption.Commercial.Hydropower,Consumption.Commercial.Kerosene,Consumption.Commercial.Petroleum,Consumption.Commercial.Natural Gas,Consumption.Commercial.Solar,Consumption.Commercial.Wind,Consumption.Commercial.Wood,Consumption.Electric Power.Coal,Consumption.Electric Power.Distillate Fuel Oil,Consumption.Electric Power.Natural Gas,Consumption.Electric Power.Wood,Consumption.Industrial.Coal,Consumption.Industrial.Distillate Fuel Oil,Consumption.Industrial.Geothermal,Consumption.Industrial.Hydropower,Consumption.Industrial.Kerosene,Consumption.Industrial.Petroleum,Consumption.Industrial.Natural Gas,Consumption.Industrial.Other Petroleum Products,Consumption.Industrial.Solar,Consumption.Industrial.Wind,Consumption.Industrial.Wood,Consumption.Refinery.Coal,Consumption.Refinery.Distillate Fuel Oil,Consumption.Refinery.Natural Gas,Consumption.Residential.Coal,Consumption.Residential.Distillate Fuel Oil,Consumption.Residential.Geothermal,Consumption.Residential.Kerosene,Consumption.Residential.Petroleum,Consumption.Residential.Natural Gas,Consumption.Residential.Wood,Consumption.Transportation.Coal,Consumption.Transportation.Distillate Fuel Oil,Consumption.Transportation.Petroleum,Consumption.Transportation.Natural Gas,Expenditure.Commercial.Coal,Expenditure.Commercial.Distillate Fuel Oil,Expenditure.Commercial.Kerosene,Expenditure.Commercial.Petroleum,Expenditure.Commercial.Natural Gas,Expenditure.Electric Power.Coal,Expenditure.Electric Power.Distillate Fuel Oil,Expenditure.Electric Power.Natural Gas,Expenditure.Industrial.Coal,Expenditure.Industrial.Distillate Fuel Oil,Expenditure.Industrial.Kerosene,Expenditure.Industrial.Petroleum,Expenditure.Industrial.Natural Gas,Expenditure.Industrial.Other Petroleum Products,Expenditure.Residential.Coal,Expenditure.Residential.Distillate Fuel Oil,Expenditure.Residential.Kerosene,Expenditure.Residential.Petroleum,Expenditure.Residential.Natural Gas,Expenditure.Residential.Wood,Expenditure.Transportation.Coal,Expenditure.Transportation.Distillate Fuel Oil,Expenditure.Transportation.Petroleum,Expenditure.Transportation.Natural Gas,Price.Commercial.Coal,Price.Commercial.Distillate Fuel Oil,Price.Commercial.Kerosene,Price.Commercial.Petroleum,Price.Commercial.Natural Gas,Price.Electric Power.Coal,Price.Electric Power.Distillate Fuel Oil,Price.Electric Power.Natural Gas,Price.Industrial.Coal,Price.Industrial.Distillate Fuel Oil,Price.Industrial.Kerosene,Price.Industrial.Petroleum,Price.Industrial.Natural Gas,Price.Industrial.Other Petroleum Products,Price.Transportation.Coal,Price.Transportation.Distillate Fuel Oil,Price.Transportation.Petroleum,Price.Transportation.Natural Gas,Consumption.Total,Commercial,Electric Power,Industrial,Refinery,Residential,Transportation
Alaska,2019,14867.0,6568.0,7309.0,85.0,1161.0,0.0,8622.0,14365.0,11.0,0.0,801.0,11035.0,5016.0,24442.0,0.0,17.0,9066.0,0.0,0.0,0.0,37406.0,297448.0,14609.0,0.0,0.0,70.0,0.0,46.0,3319.0,0.0,6574.0,101.0,0.0,6971.0,17698.0,5536.0,0.0,36849.0,162456.0,344.0,51.3,123.5,0.0,151.7,144.1,62.5,79.0,191.3,0.1,150.0,0.0,421.0,73.6,0.0,0.0,132.5,0.0,144.0,199.4,26.7,0.0,909.1,3338.0,0.0,7.82,16.9,21.53,17.6,10.03,5.66,15.74,7.83,5.56,16.63,17.91,18.51,5.93,0.0,0.0,24.67,20.55,0.0,677925.0,38922.0,40493.0,358616.0,3365.0,36880.0,199649.0
Alabama,2019,350506.0,0.0,4622.0,0.0,0.0,14.0,12410.0,25570.0,88.0,0.0,286.0,268395.0,167.0,430679.0,523.0,48785.0,20177.0,42.0,0.0,13.0,61581.0,236587.0,17318.0,9.0,0.0,162162.0,0.0,12.0,10131.0,0.0,23.0,99.0,11.0,6068.0,31472.0,1978.0,0.0,130946.0,473225.0,23824.0,0.0,71.2,0.3,205.8,295.3,615.3,2.5,1240.4,206.3,334.5,0.2,868.3,818.4,103.4,0.0,0.4,0.3,144.3,478.5,6.6,0.0,2662.5,9218.6,0.6,0.0,15.41,22.39,16.58,11.55,2.29,15.13,2.88,4.23,16.59,14.83,17.67,3.84,21.12,0.0,20.33,19.48,9.25,1967217.0,42990.0,699764.0,546674.0,10143.0,39651.0,627995.0
Arkansas,2019,0.0,0.0,4001.0,0.0,0.0,16.0,7852.0,55846.0,173.0,0.0,998.0,235754.0,449.0,163318.0,2761.0,4045.0,19959.0,12.0,0.0,7.0,52784.0,110074.0,9801.0,30.0,0.0,64256.0,0.0,12.0,6476.0,0.0,4.0,797.0,4.0,4103.0,34175.0,6899.0,0.0,95310.0,279543.0,7704.0,0.0,63.1,0.4,130.4,423.2,463.4,6.6,426.2,13.4,338.8,0.1,723.3,618.1,35.9,0.0,0.1,0.1,92.6,372.6,23.0,0.0,1942.8,5542.7,0.5,0.0,15.78,22.93,16.6,7.58,1.97,14.74,2.61,3.3,16.98,15.19,16.68,6.17,20.52,0.0,20.38,19.83,8.76,1167163.0,68886.0,402282.0,260968.0,6488.0,45982.0,382557.0
Arizona,2019,82222.0,0.0,3941.0,48.0,0.0,0.0,16716.0,35780.0,6909.0,0.0,790.0,251170.0,717.0,367765.0,3802.0,6557.0,29944.0,247.0,0.0,1.0,63270.0,19216.0,2189.0,123.0,0.0,1285.0,0.0,0.0,0.0,0.0,2.0,50.0,2.0,5549.0,43411.0,5459.0,0.0,126670.0,546001.0,17516.0,0.0,70.3,0.0,358.8,252.9,642.5,12.1,787.5,20.2,526.0,0.0,1171.3,76.7,48.5,0.0,0.0,0.1,151.1,567.7,26.3,0.0,2784.6,12672.8,13.9,0.0,17.84,22.74,21.47,7.07,2.56,16.89,2.14,3.09,17.57,18.91,18.51,3.99,22.17,0.0,21.98,23.21,8.56,1555130.0,64184.0,623454.0,122832.0,0.0,54473.0,690187.0
California,2019,0.0,0.0,20026.0,634.0,120.0,46.0,86182.0,264692.0,33643.0,53.0,3912.0,0.0,392.0,587611.0,66766.0,30886.0,67158.0,1217.0,0.0,4.0,427880.0,835569.0,180209.0,19708.0,46.0,24317.0,0.0,507.0,155976.0,0.0,480.0,287.0,418.0,26845.0,480485.0,27045.0,0.0,478672.0,3017231.0,48859.0,0.0,362.9,1.1,2115.0,2408.8,0.0,5.8,2199.5,105.4,1189.1,0.1,4154.2,4747.4,233.1,0.0,10.4,9.7,717.9,6017.5,130.4,0.0,13694.9,76731.4,238.9,0.0,18.12,23.09,24.54,9.1,0.0,14.8,3.74,3.41,17.84,19.21,21.48,7.44,22.54,0.0,28.61,25.43,8.64,6887876.0,409308.0,654769.0,1586994.0,156483.0,535560.0,3544762.0
Colorado,2019,270466.0,0.0,6149.0,221.0,118.0,6.0,17255.0,66666.0,2099.0,14.0,1922.0,269056.0,115.0,146107.0,2337.0,4282.0,31516.0,266.0,0.0,5.0,73897.0,189200.0,9637.0,22.0,25.0,467.0,0.0,12.0,5141.0,0.0,207.0,271.0,9.0,13402.0,154040.0,13285.0,0.0,89794.0,449842.0,11061.0,0.0,96.3,0.1,301.5,427.3,469.1,2.0,448.9,11.2,507.6,0.1,1126.6,465.9,10.5,0.0,3.9,0.2,279.9,1108.7,64.1,0.0,1909.9,9224.7,4.4,0.0,15.67,22.16,17.47,6.41,1.74,17.67,3.07,2.61,16.11,15.51,18.31,4.97,22.15,0.0,21.27,20.51,12.4,1558446.0,94450.0,417615.0,309317.0,5153.0,181214.0,550697.0
Connecticut,2019,0.0,0.0,7212.0,0.0,0.0,23.0,14900.0,59386.0,2014.0,0.0,969.0,867.0,176.0,147715.0,12015.0,0.0,3069.0,0.0,0.0,47.0,17535.0,25262.0,748.0,266.0,0.0,3491.0,0.0,0.0,0.0,0.0,53200.0,21.0,64.0,61677.0,53808.0,6697.0,0.0,39649.0,225301.0,6926.0,0.0,130.0,0.5,278.6,562.0,2.9,2.9,499.2,0.0,51.3,0.8,318.5,167.2,15.3,0.0,1000.4,1.5,1271.5,763.1,27.7,0.0,924.0,4973.8,2.8,0.0,18.02,22.9,18.7,9.46,3.35,16.64,3.38,0.0,16.73,17.13,18.16,6.62,20.5,0.0,23.3,22.08,13.06,743038.0,84504.0,160773.0,50418.0,0.0,175467.0,271876.0
District of Columbia,2019,0.0,5.0,391.0,0.0,0.0,0.0,786.0,16689.0,448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,3033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,22.0,0.0,60.0,12487.0,0.0,0.0,2208.0,16038.0,2436.0,0.0,6.3,0.0,15.2,181.1,0.0,0.0,0.0,0.0,1.5,0.0,44.9,0.0,0.0,0.0,1.1,0.0,1.3,154.6,0.0,0.0,50.6,368.6,3.5,5.11,16.04,22.82,19.37,10.85,0.0,0.0,0.0,0.0,14.95,0.0,14.8,0.0,0.0,0.0,22.91,22.98,7.47,54757.0,18319.0,0.0,3136.0,0.0,12620.0,20682.0
Delaware,2019,0.0,0.0,1009.0,0.0,0.0,11.0,3285.0,16263.0,315.0,47.0,97.0,2179.0,128.0,29121.0,577.0,0.0,1782.0,0.0,0.0,1.0,30791.0,35326.0,16211.0,73.0,0.0,23.0,0.0,0.0,12227.0,0.0,2470.0,430.0,48.0,5126.0,12145.0,668.0,0.0,10832.0,83962.0,590.0,0.0,15.3,0.2,56.2,156.5,5.6,1.9,74.9,0.0,25.1,0.0,99.3,214.1,0.0,0.0,49.2,1.0,121.7,140.9,2.2,0.0,244.8,1780.6,0.0,0.0,15.13,21.53,17.11,9.62,2.57,15.06,2.57,0.0,14.1,15.35,16.37,9.27,0.0,0.0,22.6,21.21,9.62,265737.0,21027.0,32005.0,84207.0,12227.0,20887.0,95384.0
Florida,2019,0.0,0.0,13545.0,2080.0,0.0,8.0,50239.0,64805.0,1289.0,0.0,44.0,223238.0,1844.0,1351480.0,49780.0,10304.0,34634.0,0.0,0.0,1.0,97989.0,122660.0,2819.0,115.0,0.0,86104.0,0.0,0.0,0.0,0.0,68.0,7976.0,18.0,6436.0,16944.0,302.0,0.0,278673.0,1725037.0,22272.0,0.0,214.2,0.2,881.6,726.0,632.3,28.3,5035.6,47.4,567.3,0.0,1730.5,737.1,61.3,0.0,1.3,0.4,236.5,360.0,1.0,0.0,6048.0,32617.9,50.7,0.0,15.81,22.82,17.55,11.2,2.83,15.33,3.73,4.6,16.38,17.89,17.66,6.02,21.76,0.0,21.7,18.91,9.9,4170704.0,132010.0,1626342.0,354626.0,0.0,31744.0,2025982.0
